vPhi, mPhi, mZp, mDM, mHL, Tn, alpha, betaoverH, vw, gstar, label
2000, 200, 1400, 0, 0, 198, 0.22, 560, 1, 130, A_200_1400
2000, 250, 1400, 0, 0, 461, 0.027, 1200, 1, 130, A_250_1400
2000, 250, 1500, 0, 0, 360, 0.049, 760, 1, 130, A_250_1500
2000, 250, 1600, 0, 0, 122, 2, 100, 1, 130, A_250_1600
2000, 300, 1400, 0, 0, 626, 0.015, 1900, 1, 130, A_300_1400
2000, 300, 1500, 0, 0, 555, 0.021, 1200, 1, 130, A_300_1500
2000, 300, 1600, 0, 0, 470, 0.031, 860, 1, 130, A_300_1600
2000, 350, 1400, 0, 0, 762, 0.0093, 3000, 1, 130, A_350_1400
2000, 350, 1500, 0, 0, 701, 0.013, 2100, 1, 130, A_350_1500
2000, 350, 1600, 0, 0, 636, 0.017, 1500, 1, 130, A_350_1600
2000, 350, 1700, 0, 0, 560, 0.024, 1000, 1, 130, A_350_1700
2000, 350, 1800, 0, 0, 459, 0.038, 620, 1, 130, A_350_1800
2000, 350, 1900, 0, 0, 239, 0.27, 250, 1, 130, A_350_1900
2000, 400, 1400, 0, 0, 885, 0.0059, 4800, 1, 130, A_400_1400
2000, 400, 1500, 0, 0, 827, 0.0083, 3400, 1, 130, A_400_1500
2000, 400, 1600, 0, 0, 768, 0.012, 2200, 1, 130, A_400_1600
2000, 400, 1700, 0, 0, 707, 0.015, 1600, 1, 130, A_400_1700
2000, 400, 1800, 0, 0, 638, 0.020, 1600, 1, 130, A_400_1800
2000, 400, 1900, 0, 0, 550, 0.028, 730, 1, 130, A_400_1900
2000, 400, 2000, 0, 0, 411, 0.056, 290, 1, 130, A_400_2000
2000, 450, 1400, 0, 0, 999, 0.0041, 7000, 1, 130, A_450_1400
2000, 450, 1500, 0, 0, 940, 0.0058, 4900, 1, 130, A_450_1500
2000, 450, 1600, 0, 0, 885, 0.008, 3500, 1, 130, A_450_1600
2000, 450, 1700, 0, 0, 829, 0.01, 2500, 1, 130, A_450_1700
2000, 450, 1800, 0, 0, 772, 0.014, 1800, 1, 130, A_450_1800
2000, 450, 1900, 0, 0, 707, 0.018, 1200, 1, 130, A_450_1900
2000, 450, 2000, 0, 0, 628, 0.023, 750, 1, 130, A_450_2000
2000, 450, 2100, 0, 0, 515, 0.035, 430, 1, 130, A_450_2100
2000, 500, 1400, 0, 0, 1106, 0.0029, 10000, 1, 130, A_500_1400
2000, 500, 1500, 0, 0, 1047, 0.0042, 7100, 1, 130, A_500_1500
2000, 500, 1600, 0, 0, 991, 0.0058, 5000, 1, 130, A_500_1600
2000, 500, 1700, 0, 0, 938, 0.0076, 3600, 1, 130, A_500_1700
2000, 500, 1800, 0, 0, 885, 0.0099, 2600, 1, 130, A_500_1800
2000, 500, 1900, 0, 0, 830, 0.012, 1900, 1, 130, A_500_1900
2000, 500, 2000, 0, 0, 770, 0.016, 1300, 1, 130, A_500_2000
2000, 500, 2100, 0, 0, 698, 0.02, 930, 1, 130, A_500_2100
2000, 500, 2200, 0, 0, 599, 0.027, 480, 1, 130, A_500_2200
2000, 500, 2300, 0, 0, 402, 0.075, 110, 1, 130, A_500_2300
2000, 550, 1500, 0, 0, 1148, 0.0031, 9900, 1, 130, A_550_1500
2000, 550, 1600, 0, 0, 1091, 0.0044, 8100, 1, 130, A_550_1600
2000, 550, 1700, 0, 0, 1038, 0.0058, 5200, 1, 130, A_550_1700
2000, 550, 1800, 0, 0, 988, 0.0075, 3700, 1, 130, A_550_1800
2000, 550, 1900, 0, 0, 938, 0.0093, 2800, 1, 130, A_550_1900
2000, 550, 2000, 0, 0, 885, 0.012, 2100, 1, 130, A_550_2000
2000, 550, 2100, 0, 0, 828, 0.014, 1500, 1, 130, A_550_2100
2000, 550, 2200, 0, 0, 762, 0.018, 990, 1, 130, A_550_2200
2000, 550, 2300, 0, 0, 674, 0.022, 570, 1, 130, A_550_2300
2000, 550, 2400, 0, 0, 523, 0.039, 260, 1, 130, A_550_2400
2000, 600, 1600, 0, 0, 1187, 0.0034, 9600, 1, 130, A_600_1600
2000, 600, 1700, 0, 0, 1133, 0.0046, 6900, 1, 130, A_600_1700
2000, 600, 1800, 0, 0, 1083, 0.0059, 5100, 1, 130, A_600_1800
2000, 600, 1900, 0, 0, 1035, 0.0074, 3800, 1, 130, A_600_1900
2000, 600, 2000, 0, 0, 987, 0.009, 2800, 1, 130, A_600_2000
2000, 600, 2100, 0, 0, 937, 0.011, 2100, 1, 130, A_600_2100
2000, 600, 2200, 0, 0, 883, 0.013, 1600, 1, 130, A_600_2200
2000, 600, 2300, 0, 0, 821, 0.015, 1100, 1, 130, A_600_2300
2000, 600, 2400, 0, 0, 740, 0.019, 720, 1, 130, A_600_2400
2000, 600, 2500, 0, 0, 613, 0.028, 310, 1, 130, A_600_2500
2000, 650, 1700, 0, 0, 1224, 0.0036, 9300, 1, 130, A_650_1700
2000, 650, 1800, 0, 0, 1174, 0.0047, 7000, 1, 130, A_650_1800
2000, 650, 1900, 0, 0, 1126, 0.006, 5000, 1, 130, A_650_1900
2000, 650, 2000, 0, 0, 1080, 0.0074, 3800, 1, 130, A_650_2000
2000, 650, 2100, 0, 0, 1035, 0.0088, 2900, 1, 130, A_650_2100
2000, 650, 2200, 0, 0, 987, 0.01, 2200, 1, 130, A_650_2200
2000, 650, 2300, 0, 0, 936, 0.012, 1600, 1, 130, A_650_2300
2000, 650, 2400, 0, 0, 877, 0.014, 1200, 1, 130, A_650_2400
2000, 650, 2500, 0, 0, 803, 0.017, 770, 1, 130, A_650_2500
2000, 650, 2600, 0, 0, 691, 0.022, 320, 1, 130, A_650_2600
2000, 700, 1800, 0, 0, 1260, 0.0038, 9100, 1, 130, A_700_1800
2000, 700, 1900, 0, 0, 1213, 0.0049, 6700, 1, 130, A_700_1900
2000, 700, 2000, 0, 0, 1168, 0.0061, 5100, 1, 130, A_700_2000
2000, 700, 2100, 0, 0, 1125, 0.0073, 3800, 1, 130, A_700_2100
2000, 700, 2200, 0, 0, 1081, 0.0086, 2900, 1, 130, A_700_2200
2000, 700, 2300, 0, 0, 1036, 0.0099, 2200, 1, 130, A_700_2300
2000, 700, 2400, 0, 0, 987, 0.011, 1700, 1, 130, A_700_2400
2000, 700, 2500, 0, 0, 931, 0.013, 1200, 1, 130, A_700_2500
2000, 700, 2600, 0, 0, 862, 0.015, 840, 1, 130, A_700_2600
2000, 700, 2700, 0, 0, 762, 0.019, 450, 1, 130, A_700_2700
2000, 700, 2800, 0, 0, 510, 0.048, 81, 1, 130, A_700_2800
2000, 750, 1900, 0, 0, 1296, 0.004, 8800, 1, 130, A_750_1900
2000, 750, 2000, 0, 0, 1251, 0.0051, 6600, 1, 130, A_750_2000
2000, 750, 2100, 0, 0, 1209, 0.0061, 5000, 1, 130, A_750_2100
2000, 750, 2200, 0, 0, 1168, 0.0072, 3900, 1, 130, A_750_2200
2000, 750, 2300, 0, 0, 1127, 0.0083, 3000, 1, 130, A_750_2300
2000, 750, 2400, 0, 0, 1084, 0.0094, 2300, 1, 130, A_750_2400
2000, 750, 2500, 0, 0, 1038, 0.011, 1700, 1, 130, A_750_2500
2000, 750, 2600, 0, 0, 985, 0.012, 1200, 1, 130, A_750_2600
2000, 750, 2700, 0, 0, 920, 0.013, 880, 1, 130, A_750_2700
2000, 750, 2800, 0, 0, 829, 0.015, 510, 1, 130, A_750_2800
2000, 800, 2000, 0, 0, 1331, 0.0042, 7900, 1, 130, A_800_2000
2000, 800, 2100, 0, 0, 1289, 0.0052, 6400, 1, 130, A_800_2100
2000, 800, 2200, 0, 0, 1250, 0.0062, 5700, 1, 130, A_800_2200
2000, 800, 2300, 0, 0, 1211, 0.0072, 3800, 1, 130, A_800_2300
2000, 800, 2400, 0, 0, 1172, 0.0081, 3000, 1, 130, A_800_2400
2000, 800, 2500, 0, 0, 1132, 0.0091, 2300, 1, 130, A_800_2500
2000, 800, 2600, 0, 0, 1089, 0.0099, 1800, 1, 130, A_800_2600
2000, 800, 2700, 0, 0, 1040, 0.011, 1300, 1, 130, A_800_2700
2000, 800, 2800, 0, 0, 979, 0.012, 950, 1, 130, A_800_2800
2000, 850, 2000, 0, 0, 1409, 0.0036, 10000, 1, 130, A_850_2000
2000, 850, 2100, 0, 0, 1367, 0.0044, 7800, 1, 130, A_850_2100
2000, 850, 2200, 0, 0, 1328, 0.0053, 5900, 1, 130, A_850_2200
2000, 850, 2300, 0, 0, 1290, 0.0061, 4600, 1, 130, A_850_2300
2000, 850, 2400, 0, 0, 1254, 0.0071, 3600, 1, 130, A_850_2400
2000, 850, 2500, 0, 0, 1217, 0.0079, 2900, 1, 130, A_850_2500
2000, 850, 2600, 0, 0, 1180, 0.0087, 3900, 1, 130, A_850_2600
2000, 850, 2700, 0, 0, 1140, 0.0093, 1800, 1, 130, A_850_2700
2000, 850, 2800, 0, 0, 1094, 0.01, 1300, 1, 130, A_850_2800
2000, 900, 2100, 0, 0, 1442, 0.0038, 9800, 1, 130, A_900_2100
2000, 900, 2200, 0, 0, 1403, 0.0046, 7600, 1, 130, A_900_2200
2000, 900, 2300, 0, 0, 1366, 0.0054, 5900, 1, 130, A_900_2300
2000, 900, 2400, 0, 0, 1332, 0.0061, 4600, 1, 130, A_900_2400
2000, 900, 2500, 0, 0, 1298, 0.0069, 3600, 1, 130, A_900_2500
2000, 900, 2600, 0, 0, 1264, 0.0076, 2800, 1, 130, A_900_2600
2000, 900, 2700, 0, 0, 1229, 0.0083, 2200, 1, 130, A_900_2700
2000, 900, 2800, 0, 0, 1192, 0.0088, 1700, 1, 130, A_900_2800
2000, 950, 2200, 0, 0, 1476, 0.004, 9300, 1, 130, A_950_2200
2000, 950, 2300, 0, 0, 1440, 0.0047, 7300, 1, 130, A_950_2300
2000, 950, 2400, 0, 0, 1406, 0.0054, 5700, 1, 130, A_950_2400
2000, 950, 2500, 0, 0, 1374, 0.0061, 4600, 1, 130, A_950_2500
2000, 950, 2600, 0, 0, 1343, 0.0067, 3600, 1, 130, A_950_2600
2000, 950, 2700, 0, 0, 1312, 0.0073, 2900, 1, 130, A_950_2700
2000, 950, 2800, 0, 0, 1281, 0.0078, 3200, 1, 130, A_950_2800
2000, 1000, 2200, 0, 0, 1546, 0.0035, 11000, 1, 130, A_1000_2200
2000, 1000, 2300, 0, 0, 1511, 0.0041, 8800, 1, 130, A_1000_2300
2000, 1000, 2400, 0, 0, 1477, 0.0048, 7000, 1, 130, A_1000_2400
2000, 1000, 2500, 0, 0, 1447, 0.0054, 5500, 1, 130, A_1000_2500
2000, 1000, 2600, 0, 0, 1418, 0.006, 4400, 1, 130, A_1000_2600
2000, 1000, 2700, 0, 0, 1390, 0.0065, 3500, 1, 130, A_1000_2700
2000, 1000, 2800, 0, 0, 1362, 0.007, 2800, 1, 130, A_1000_2800
2000, 200, 1400, 200, 210, 188, 0.27, 460, 1, 130, B_200_1400
2000, 250, 1400, 200, 210, 439, 0.032, 1300, 1, 130, B_250_1400
2000, 250, 1500, 200, 210, 342, 0.060, 800, 1, 130, B_250_1500
2000, 250, 1600, 200, 210, 115, 2.6, 260, 1, 130, B_250_1600
2000, 300, 1400, 200, 210, 597, 0.017, 1800, 1, 130, B_300_1400
2000, 300, 1500, 200, 210, 531, 0.024, 1400, 1, 130, B_300_1500
2000, 300, 1600, 200, 210, 449, 0.037, 900, 1, 130, B_300_1600
2000, 300, 1700, 200, 210, 327, 0.083, 400, 1, 130, B_300_1700
2000, 350, 1400, 200, 210, 730, 0.011, 3200, 1, 130, B_350_1400
2000, 350, 1500, 200, 210, 672, 0.015, 2100, 1, 130, B_350_1500
2000, 350, 1600, 200, 210, 610, 0.02, 1600, 1, 130, B_350_1600
2000, 350, 1700, 200, 210, 537, 0.028, 920, 1, 130, B_350_1700
2000, 350, 1800, 200, 210, 439, 0.045, 510, 1, 130, B_350_1800
2000, 350, 1900, 200, 210, 219, 0.39, 140, 1, 130, B_350_1900
2000, 400, 1400, 200, 210, 848, 0.0067, 5000, 1, 130, B_400_1400
2000, 400, 1500, 200, 210, 794, 0.0098, 3500, 1, 130, B_400_1500
2000, 400, 1600, 200, 210, 739, 0.013, 2300, 1, 130, B_400_1600
2000, 400, 1700, 200, 210, 681, 0.017, 1700, 1, 130, B_400_1700
2000, 400, 1800, 200, 210, 614, 0.023, 1100, 1, 130, B_400_1800
2000, 400, 1900, 200, 210, 528, 0.032, 700, 1, 130, B_400_1900
2000, 400, 2000, 200, 210, 391, 0.068, 280, 1, 130, B_400_2000
2000, 450, 1400, 200, 210, 959, 0.0045, 7400, 1, 130, B_450_1400
2000, 450, 1500, 200, 210, 905, 0.0066, 5100, 1, 130, B_450_1500
2000, 450, 1600, 200, 210, 853, 0.0089, 3600, 1, 130, B_450_1600
2000, 450, 1700, 200, 210, 800, 0.012, 2600, 1, 130, B_450_1700
2000, 450, 1800, 200, 210, 745, 0.016, 1900, 1, 130, B_450_1800
2000, 450, 1900, 200, 210, 682, 0.02, 1200, 1, 130, B_450_1900
2000, 450, 2000, 200, 210, 604, 0.026, 790, 1, 130, B_450_2000
2000, 450, 2100, 200, 210, 492, 0.042, 500, 1, 130, B_450_2100
2000, 500, 1400, 200, 210, 1064, 0.0032, 10000, 1, 130, B_500_1400
2000, 500, 1500, 200, 210, 1009, 0.0046, 7600, 1, 130, B_500_1500
2000, 500, 1600, 200, 210, 957, 0.0064, 5200, 1, 130, B_500_1600
2000, 500, 1700, 200, 210, 907, 0.0086, 3800, 1, 130, B_500_1700
2000, 500, 1800, 200, 210, 857, 0.011, 2700, 1, 130, B_500_1800
2000, 500, 1900, 200, 210, 804, 0.014, 2000, 1, 130, B_500_1900
2000, 500, 2000, 200, 210, 745, 0.018, 1400, 1, 130, B_500_2000
2000, 500, 2100, 200, 210, 674, 0.022, 940, 1, 130, B_500_2100
2000, 500, 2200, 200 ,210, 575, 0.031, 460, 1, 130, D_500_2200
2000, 500, 2300, 200, 210, 373, 0.099, 68, 1, 130, B_500_2300
2000, 550, 1500, 200, 210, 1108, 0.0034, 10000, 1, 130, B_550_1500
2000, 550, 1600, 200, 210, 1056, 0.0048, 7400, 1, 130, B_550_1600
2000, 550, 1700, 200, 210, 1006, 0.0064, 5300, 1, 130, B_550_1700
2000, 550, 1800, 200, 210, 958, 0.0082, 3900, 1, 130, B_550_1800
2000, 550, 1900, 200, 210, 910, 0.01, 2800, 1, 130, B_550_1900
2000, 550, 2000, 200, 210, 859, 0.013, 2000, 1, 130, B_550_2000
2000, 550, 2100, 200, 210, 803, 0.016, 1400, 1, 130, B_550_2100
2000, 550, 2200, 200, 210, 737, 0.02, 1000, 1, 130, B_550_2200
2000, 550, 2300, 200, 210, 649, 0.025, 570, 1, 130, B_550_2300
2000, 550, 2400, 200, 210, 498, 0.046, 240, 1, 130, B_550_2400
2000, 600, 1600, 200, 210, 1150, 0.0037, 10000, 1, 130, B_600_1600
2000, 600, 1700, 200, 210, 1100, 0.005, 7200, 1, 130, B_600_1700
2000, 600, 1800, 200, 210, 1052, 0.0064, 5400, 1, 130, B_600_1800
2000, 600, 1900, 200, 210, 1006, 0.0081, 3900, 1, 130, B_600_1900
2000, 600, 2000, 200, 210, 959, 0.0098, 3000, 1, 130, B_600_2000
2000, 600, 2100, 200, 210, 911, 0.012, 2200, 1, 130, B_600_2100
2000, 600, 2200, 200, 210, 858, 0.014, 1600, 1, 130, B_600_2200
2000, 600, 2300, 200, 210, 796, 0.018, 1100, 1, 130, B_600_2300
2000, 600, 2400, 200, 210, 715, 0.022, 630, 1, 130, B_600_2400
2000, 600, 2500, 200, 210, 586, 0.032, 330, 1, 130, B_600_2500
2000, 650, 1700, 200, 210, 1189, 0.0039, 9400, 1, 130, B_650_1700
2000, 650, 1800, 200, 210, 1141, 0.0051, 7000, 1, 130, B_650_1800
2000, 650, 1900, 200, 210, 1096, 0.0065, 5200, 1, 130, B_650_1900
2000, 650, 2000, 200, 210, 1052, 0.008, 3900, 1, 130, B_650_2000
2000, 650, 2100, 200, 210, 1007, 0.0095, 2900, 1, 130, B_650_2100
2000, 650, 2200, 200, 210, 961, 0.011, 2200, 1, 130, B_650_2200
2000, 650, 2300, 200, 210, 910, 0.013, 1700, 1, 130, B_650_2300
2000, 650, 2400, 200, 210, 851, 0.015, 1100, 1, 130, B_650_2400
2000, 650, 2500, 200, 210, 777, 0.019, 790, 1, 130, B_650_2500
2000, 650, 2600, 200, 210, 662, 0.025, 370, 1, 130, B_650_2600
2000, 700, 1800, 200, 210, 1227, 0.0041, 9400, 1, 130, B_700_1800
2000, 700, 2000, 200, 210, 1139, 0.0065, 5400, 1, 130, B_700_2000
